"Name","Description","Count"
"Hyperbola","",198
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\XLine J",0.514,0.514,3.000,0.372,2.14,N/A,-7.335,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine J",1.051,1.051,3.000,0.372,2.14,N/A,-9.430,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine J",1.549,1.549,3.000,0.388,2.23,N/A,3.188,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine J",2.047,2.047,3.000,0.372,2.14,N/A,-6.397,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine J",2.584,2.584,3.000,0.319,1.84,N/A,6.195,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine J",3.081,3.081,3.000,0.335,1.93,N/A,5.319,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine J",3.619,3.619,3.000,0.351,2.02,N/A,-3.946,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine K",0.514,0.514,3.333,0.372,2.14,N/A,-7.285,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine K",1.022,1.022,3.333,0.372,2.14,N/A,-8.980,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine K",1.549,1.549,3.333,0.388,2.23,N/A,3.360,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine K",2.047,2.047,3.333,0.372,2.14,N/A,-9.070,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine K",2.584,2.584,3.333,0.335,1.93,N/A,8.988,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine K",3.081,3.081,3.333,0.335,1.93,N/A,6.482,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine K",3.579,3.579,3.333,0.335,1.93,N/A,-0.404,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine L",0.554,0.554,3.667,0.351,2.02,N/A,-14.145,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine L",1.051,1.051,3.667,0.388,2.23,N/A,3.667,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine L",1.549,1.549,3.667,0.388,2.23,N/A,4.189,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine L",2.086,2.086,3.667,0.388,2.23,N/A,2.959,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine L",2.584,2.584,3.667,0.335,1.93,N/A,-3.456,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine L",3.121,3.121,3.667,0.335,1.93,N/A,-6.273,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine L",3.619,3.619,3.667,0.351,2.02,N/A,-6.374,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine M",0.554,0.554,4.000,0.372,2.14,N/A,-5.051,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine M",1.051,1.051,4.000,0.372,2.14,N/A,-4.857,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine M",1.579,1.579,4.000,0.372,2.14,N/A,-4.753,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine M",2.086,2.086,4.000,0.372,2.14,N/A,-5.446,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine M",2.614,2.614,4.000,0.335,1.93,N/A,3.079,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine M",3.151,3.151,4.000,0.351,2.02,N/A,2.187,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine M",3.649,3.649,4.000,0.351,2.02,N/A,-3.224,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",0.315,3.000,0.315,0.282,1.62,N/A,11.893,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",0.813,3.000,0.813,0.303,1.74,N/A,11.458,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",1.350,3.000,1.350,0.319,1.84,N/A,12.375,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",1.848,3.000,1.848,0.319,1.84,N/A,14.849,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",2.355,3.000,2.355,0.319,1.84,N/A,12.558,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",2.852,3.000,2.852,0.335,1.93,N/A,7.849,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",3.350,3.000,3.350,0.351,2.02,N/A,5.472,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 10",3.818,3.000,3.818,0.319,1.84,N/A,-10.912,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",0.315,3.333,0.315,0.303,1.74,N/A,13.099,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",0.813,3.333,0.813,0.319,1.84,N/A,6.018,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",1.320,3.333,1.320,0.319,1.84,N/A,3.444,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",1.818,3.333,1.818,0.319,1.84,N/A,6.760,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",2.315,3.333,2.315,0.319,1.84,N/A,0.058,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",2.813,3.333,2.813,0.335,1.93,N/A,-3.049,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",3.320,3.333,3.320,0.335,1.93,N/A,-6.656,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 11",3.788,3.333,3.788,0.319,1.84,N/A,-6.571,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",0.315,3.667,0.315,0.303,1.74,N/A,-1.433,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",0.813,3.667,0.813,0.319,1.84,N/A,-0.511,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",1.320,3.667,1.320,0.335,1.93,N/A,1.299,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",1.519,3.667,1.519,0.742,4.35,N/A,1.715,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",1.818,3.667,1.818,0.319,1.84,N/A,-1.617,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\YLine 12",2.315,3.667,2.315,0.319,1.84,N/A,-0.876,0.328,N/A,N/A,N/A,N/A,N/A,""
